hollywoodFilms,Genre,rottenTomatoesRatings%,audienceRatings,budget
The Forbidden Kingdom,Action,0.64,0.65,55
The Fourth Kind,Mystery,0.18,0.44,10
The Game Plan,Comedy,0.27,0.75,22
The Ghost Writer,Mystery,0.83,0.68,45
The Girl With The Dragon Tattoo,Thriller,0.87,0.89,90
The Golden Compass,Action,0.42,0.55,180
The Green Hornet,Action,0.44,0.47,120
The Hangover,Comedy,0.79,0.87,35
The Hangover Part II,Comedy,0.35,0.58,80
The Happening,Thriller,0.19,0.29,48
The Haunting in Connecticut,Drama,0.17,0.51,30
The Haunting of Molly Hartley,Horror,0.03,0.22,5
The Heartbreak Kid,Comedy,0.3,0.41,60
The Help,Drama,0.75,0.91,25
The Hills Have Eyes 2,Horror,0.11,0.5,15
The House Bunny,Comedy,0.39,0.54,25
The Hurt Locker,Drama,0.97,0.83,15
The Ides of March,Thriller,0.85,0.76,13
The Incredible Hulk,Action,0.67,0.75,138
The Informant!,Comedy,0.78,0.42,22
The International,Action,0.58,0.39,50
The Invasion,Sci-Fi,0.19,0.43,80
The Invention of Lying,Comedy,0.56,0.47,19
The Iron Lady,Drama,0.53,0.54,13
The Joneses,Comedy,0.61,0.47,10
The Karate Kid,Action,0.66,0.75,40
The Kids Are All Right,Comedy,0.94,0.72,4
The Kingdom,Action,0.52,0.78,80
The Kite Runner,Drama,0.66,0.85,20
The Last Airbender,Action,0.06,0.42,150
The Last Exorcism,Drama,0.73,0.32,2
The Last Song,Drama,0.19,0.66,20
The Lincoln Lawyer,Drama,0.84,0.82,40
The Longshots,Comedy,0.39,0.39,30
The Losers,Action,0.47,0.55,25
The Love Guru,Comedy,0.14,0.38,62
The Lovely Bones,Drama,0.32,0.57,65
The Mechanic,Action,0.53,0.52,40
The Men Who Stare at Goats,Comedy,0.52,0.43,25
The Mist,Horror,0.72,0.64,18
The Mummy: Tomb of the Dragon Emperor,Action,0.14,0.4,145
The Muppets,Comedy,0.97,0.87,45
The Nanny Diaries,Comedy,0.33,0.52,20
The Other Boleyn Girl,Drama,0.41,0.65,40
The Other Guys,Action,0.78,0.57,100
The Pink Panther 2,Adventure,0.12,0.47,59
The Proposal,Comedy,0.43,0.74,40
The Reaping,Horror,0.09,0.53,40
The Rite,Horror,0.2,0.43,37
The Road,Adventure,0.75,0.65,25
The Roommate,Horror,0.04,0.29,16
The Ruins,Horror,0.46,0.32,25
The Rum Diary,Drama,0.5,0.48,45
The Secret Life of Bees,Drama,0.56,0.78,11
The Simpsons Movie,Comedy,0.9,0.78,75
The Sitter,Comedy,0.22,0.43,25
The Soloist,Drama,0.56,0.59,60
The Son Of No One,Thriller,0.18,0.61,15
The Sorcerer's Apprentice,Action,0.42,0.57,150
The Spirit,Action,0.14,0.29,6
The Spy Next Door,Action,0.13,0.46,0
The Stepfather,Mystery,0.12,0.48,20
The Strangers,Horror,0.44,0.48,9
The Switch,Comedy,0.52,0.44,19
The Taking of Pelham 1 2 3,Action,0.51,0.6,100
The Thing,Horror,0.36,0.52,38
The Three Musketeers,Action,0.24,0.48,75
The Time Traveler's Wife,Drama,0.38,0.65,39
The Tourist,Thriller,0.2,0.44,100
The Tree Of Life,Drama,0.84,0.61,32
The Twilight Saga: Eclipse,Drama,0.5,0.74,68
The Twilight Saga: New Moon,Drama,0.27,0.78,50
The Ugly Truth,Comedy,0.14,0.68,38
The Unborn,Horror,0.11,0.39,16
The Visitor,Drama,0.92,0.83,4
The Wolfman,Drama,0.33,0.38,150
The Women,Drama,0.13,0.41,16
The X-Files: I Want to Believe,Thriller,0.32,0.34,35
There Will Be Blood,Drama,0.91,0.84,25
Thor,Action,0.77,0.8,150
Tinker Tailor Soldier Spy,Thriller,0.83,0.68,21
TMNT,Action,0.33,0.63,35
Tooth Fairy,Comedy,0.16,0.46,48
Tower Heist,Comedy,0.68,0.61,75
Traitor,Thriller,0.55,0.66,22
Transformers,Action,0.57,0.89,150
Transformers: Dark of the Moon,Action,0.35,0.67,195
Transformers: Revenge of the Fallen,Action,0.2,0.76,210
Transporter 3,Action,0.36,0.58,30
Trespass,Thriller,0.11,0.24,35
Tron: Legacy,Action,0.5,0.67,170
Tropic Thunder,Comedy,0.83,0.69,90
True Grit,Adventure,0.96,0.86,38
Twilight,Romance,0.49,0.82,37
Twilight: Breaking Dawn,Romance,0.26,0.68,110
Tyler Perry's Meet the Browns,Drama,0.31,0.36,20
Tyler Perry's The Family That Preys,Drama,0.51,0.36,10
Tyler Perry's Why Did I get Married,Romance,0.46,0.47,15
Under the Same Moon,Drama,0.72,0.37,2
Underworld: Rise of the Lycans,Action,0.3,0.68,35
Unknown,Thriller,0.55,0.57,30
Unstoppable,Action,0.86,0.73,95
Untraceable,Thriller,0.14,0.56,35
Up in the Air,Drama,0.9,0.76,25
Vacancy,Comedy,0.55,0.46,19
Valentine's Day,Comedy,0.17,0.54,52
Valkyrie,Thriller,0.58,0.66,75
Vampires Suck,Comedy,0.04,0.32,20
Vanishing on 7th Street,Horror,0.52,0.62,10
Vantage Point,Thriller,0.35,0.61,40
Vicky Cristina Barcelona,Romance,0.82,0.73,16
W.,Drama,0.6,0.42,26
Waiting For Forever,Romance,0.06,0.53,5
Waitress,Romance,0.89,0.67,2
Walk Hard: The Dewey Cox Story,Comedy,0.75,0.55,35
Wall Street: Money Never Sleeps,Drama,0.54,0.43,70
Wanted,Action,0.73,0.72,75
War Horse,Drama,0.77,0.73,66
Warrior,Action,0.83,0.93,25
Watchmen,Action,0.64,0.68,130
Water For Elephants,Drama,0.6,0.72,38
We Bought a Zoo,Comedy,0.63,0.79,50
We Own the Night,Drama,0.55,0.63,21
Welcome Home Roscoe Jenkins,Comedy,0.24,0.64,35
What Happens in Vegas,Comedy,0.28,0.72,35
Whats Your Number,Comedy,0.24,0.5,20
Whatever Works,Comedy,0.5,0.63,15
Where the Wild Things Are,Adventure,0.73,0.59,100
Whip It,Drama,0.84,0.73,15
Whiteout,Action,0.07,0.28,35
Why Did I Get Married Too?,Comedy,0.27,0.67,20
Wild Hogs,Comedy,0.14,0.72,90
Winters Bone,Drama,0.94,0.73,2
X-Men Origins: Wolverine,Action,0.37,0.72,150
X-Men: First Class,Action,0.87,0.88,160
Year One,Adventure,0.14,0.31,60
Yes Man,Comedy,0.43,0.72,70
Yogi Bear,Comedy,0.14,0.36,80
You Again,Comedy,0.18,0.45,20
You Don't Mess with the Zohan,Comedy,0.36,0.5,80
You Will Meet a Tall Dark Stranger,Comedy,0.43,0.35,22
Your Highness,Comedy,0.26,0.36,50
Youth in Revolt,Comedy,0.68,0.52,18
Zack and Miri Make a Porno,Romance,0.64,0.7,24
Zodiac,Thriller,0.89,0.73,65
Zombieland,Action,0.9,0.87,24
Zookeeper,Comedy,0.14,0.42,80
Zombieland,Action,0.9,0.87,24
Zookeeper,Comedy,0.14,0.42,80
